               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,  metrics/player_mAP,metrics/player_mAP_50
                  83,            0.054739,           0.0096209,                   0,             0.54103,             0.43299,             0.44364,             0.18129,            0.050308,           0.0096088,                   0,            0.004588,            0.004588,            0.004588,             0.18129,             0.44364
                  84,            0.056554,           0.0096721,                   0,             0.44975,             0.43299,             0.37624,             0.14342,            0.053506,           0.0096048,                   0,            0.004522,            0.004522,            0.004522,             0.14342,             0.37624
                  85,            0.055394,            0.010198,                   0,             0.47402,             0.47423,             0.40917,             0.16382,            0.051934,           0.0096611,                   0,            0.004456,            0.004456,            0.004456,             0.16382,             0.40917
                  86,              0.0533,           0.0097638,                   0,             0.46256,             0.51546,             0.40706,             0.15975,            0.051001,           0.0096436,                   0,             0.00439,             0.00439,             0.00439,             0.15975,             0.40706
                  87,            0.056271,           0.0087851,                   0,             0.48664,              0.4007,             0.33836,             0.13669,            0.050977,           0.0098289,                   0,            0.004324,            0.004324,            0.004324,             0.13669,             0.33836
                  88,            0.056392,           0.0094499,                   0,             0.37356,             0.40206,             0.30698,             0.12239,            0.053711,           0.0097448,                   0,            0.004258,            0.004258,            0.004258,             0.12239,             0.30698
                  89,            0.054942,            0.010238,                   0,             0.41073,             0.48454,             0.35223,             0.14048,             0.05555,            0.010398,                   0,            0.004192,            0.004192,            0.004192,             0.14048,             0.35223
                  90,            0.052814,            0.010353,                   0,             0.48923,              0.4433,             0.40296,             0.17885,            0.050828,            0.010185,                   0,            0.004126,            0.004126,            0.004126,             0.17885,             0.40296
                  91,            0.054472,            0.010313,                   0,             0.54922,             0.50245,             0.48609,             0.20758,            0.051245,           0.0095098,                   0,             0.00406,             0.00406,             0.00406,             0.20758,             0.48609
                  92,            0.054384,           0.0099512,                   0,             0.64407,             0.42911,              0.4509,             0.18852,            0.051611,            0.010384,                   0,            0.003994,            0.003994,            0.003994,             0.18852,              0.4509
                  93,            0.051256,           0.0091273,                   0,             0.55694,             0.53608,             0.46337,             0.20067,            0.049493,           0.0096609,                   0,            0.003928,            0.003928,            0.003928,             0.20067,             0.46337
                  94,            0.053203,           0.0098141,                   0,             0.50657,             0.52577,             0.46862,             0.18033,            0.052293,           0.0091688,                   0,            0.003862,            0.003862,            0.003862,             0.18033,             0.46862
                  95,            0.050141,            0.008811,                   0,             0.52499,             0.45577,              0.4682,             0.22168,            0.049907,           0.0093086,                   0,            0.003796,            0.003796,            0.003796,             0.22168,              0.4682
                  96,            0.050996,           0.0094502,                   0,             0.42924,             0.34115,             0.31003,             0.11931,            0.057022,            0.010131,                   0,             0.00373,             0.00373,             0.00373,             0.11931,             0.31003
                  97,            0.050211,            0.008687,                   0,             0.71242,             0.50515,             0.54201,              0.2445,            0.048542,           0.0092251,                   0,            0.003664,            0.003664,            0.003664,              0.2445,             0.54201
                  98,            0.053529,             0.01004,                   0,             0.48898,             0.50515,             0.47052,             0.20178,            0.051039,           0.0087526,                   0,            0.003598,            0.003598,            0.003598,             0.20178,             0.47052
                  99,            0.052262,           0.0088827,                   0,              0.6119,              0.4389,             0.51726,             0.21218,            0.049474,           0.0086733,                   0,            0.003532,            0.003532,            0.003532,             0.21218,             0.51726
                 100,            0.051846,           0.0086247,                   0,             0.69153,             0.46225,             0.53341,             0.25681,            0.047692,           0.0089405,                   0,            0.003466,            0.003466,            0.003466,             0.25681,             0.53341
                 101,            0.050425,           0.0091893,                   0,             0.71905,             0.50515,             0.53373,             0.25168,            0.047455,           0.0088968,                   0,              0.0034,              0.0034,              0.0034,             0.25168,             0.53373
                 102,            0.050533,           0.0092624,                   0,             0.70312,             0.45361,             0.48125,             0.19473,            0.053558,           0.0091206,                   0,            0.003334,            0.003334,            0.003334,             0.19473,             0.48125
                 103,            0.053222,           0.0097901,                   0,             0.57145,             0.47423,             0.42338,             0.18945,            0.051568,           0.0091562,                   0,            0.003268,            0.003268,            0.003268,             0.18945,             0.42338
                 104,             0.04829,           0.0089841,                   0,             0.67474,             0.51546,             0.53775,             0.24081,            0.048168,           0.0088486,                   0,            0.003202,            0.003202,            0.003202,             0.24081,             0.53775
                 105,            0.050369,           0.0092483,                   0,             0.60813,             0.57732,             0.53951,             0.25518,            0.047664,           0.0093849,                   0,            0.003136,            0.003136,            0.003136,             0.25518,             0.53951
                 106,            0.052985,           0.0093092,                   0,             0.63809,             0.53608,             0.50627,             0.22243,            0.049881,           0.0089722,                   0,             0.00307,             0.00307,             0.00307,             0.22243,             0.50627
                 107,            0.048616,           0.0089584,                   0,             0.64865,             0.52577,             0.55037,             0.25938,            0.048759,           0.0090427,                   0,            0.003004,            0.003004,            0.003004,             0.25938,             0.55037
                 108,            0.051346,           0.0088664,                   0,             0.64383,             0.50515,             0.56375,             0.26022,            0.046303,           0.0087135,                   0,            0.002938,            0.002938,            0.002938,             0.26022,             0.56375
                 109,            0.047927,           0.0088013,                   0,             0.59392,             0.49485,             0.50053,             0.23502,            0.046835,           0.0089287,                   0,            0.002872,            0.002872,            0.002872,             0.23502,             0.50053
                 110,             0.04684,           0.0082884,                   0,             0.62082,              0.5739,             0.51693,             0.24312,            0.045434,           0.0090317,                   0,            0.002806,            0.002806,            0.002806,             0.24312,             0.51693
                 111,             0.05153,            0.009046,                   0,             0.48971,             0.31663,             0.30055,             0.12072,            0.057679,            0.010323,                   0,             0.00274,             0.00274,             0.00274,             0.12072,             0.30055
                 112,            0.050742,           0.0087145,                   0,             0.57359,             0.56858,             0.56154,             0.27238,            0.045496,           0.0087309,                   0,            0.002674,            0.002674,            0.002674,             0.27238,             0.56154
                 113,            0.046384,           0.0095343,                   0,             0.66647,             0.48454,             0.55304,             0.26289,            0.045038,           0.0088684,                   0,            0.002608,            0.002608,            0.002608,             0.26289,             0.55304
                 114,            0.048092,           0.0088563,                   0,             0.55687,             0.54414,             0.56188,             0.26243,            0.044024,           0.0088242,                   0,            0.002542,            0.002542,            0.002542,             0.26243,             0.56188
                 115,            0.048699,            0.008841,                   0,             0.72491,             0.54639,             0.59373,             0.29365,            0.043287,           0.0086004,                   0,            0.002476,            0.002476,            0.002476,             0.29365,             0.59373
                 116,            0.046131,           0.0080835,                   0,             0.61606,             0.54589,             0.55072,             0.24912,            0.046273,           0.0089064,                   0,             0.00241,             0.00241,             0.00241,             0.24912,             0.55072
                 117,            0.046116,           0.0078448,                   0,             0.56173,             0.58143,             0.56057,              0.2649,            0.044883,           0.0087826,                   0,            0.002344,            0.002344,            0.002344,              0.2649,             0.56057
                 118,            0.049132,           0.0087433,                   0,             0.53056,             0.58261,             0.57504,             0.29226,            0.043743,           0.0087761,                   0,            0.002278,            0.002278,            0.002278,             0.29226,             0.57504
                 119,            0.046741,            0.009373,                   0,             0.62201,             0.51546,             0.53036,             0.27336,            0.042585,           0.0087193,                   0,            0.002212,            0.002212,            0.002212,             0.27336,             0.53036
                 120,            0.046623,           0.0084685,                   0,             0.69818,             0.53608,             0.57203,             0.29585,            0.042881,           0.0083883,                   0,            0.002146,            0.002146,            0.002146,             0.29585,             0.57203
